 Insights                                                                                                           ; PrimeiraPalavra-Chave ; SegundaPalavra-Chave ; Aleatório                                                                                                                   
 Gatos conseguem enxergar bem no escuro                                                                             ; gato                  ; escuro               ; asdjksandjksadjsahdjsahdjkashdkjshjkdshajkdhjsakdhkd                                                                        
 Lentes de contato que não embaça na praia                                                                          ; lentes                ; embaça               ;                                                                                                                             
 Um teclado led que mude as letras de acordo com a região                                                           ; teclado               ; região               ;" mamfsfljasndfljsdnfnlj..asdaad;nmlknakgnkldangaklgnlngdlkanglangan;lglagalngaglnglslss                                      "
 uma cama que se arrume sozinha depois que a gente acorda                                                           ; organização           ; cama                 ; foi o medina                                                                                                                
 uma luva que pinta as unhas                                                                                        ; beleza                ; tecido               ; cpaoIJNCOIESUBCPOJCP CODJBCOIUEBSOIEVB                                                                                      
 uma bombom que deixa o sabor de remédio doce                                                                       ; saúde                 ; remédios             ; dnfjewneeekjjncjdnlckj                                                                                                      
 uma camisa massageadora                                                                                            ; bem-estar             ; relaxamento          ; fjnejnfjkenfejn djkcnldksjbcl                                                                                               
 um guarda roupa inteligente que passa as roupas a vapor                                                            ; otimizar              ; vapor                ; ,zbv,jbvfyuxbyfkgzbzklgb hbdfhb                                                                                             
 um guarda roupa inteligente que escolhe o look do dia de acordo com o clima                                        ; combinações           ; clima                ; zjhvzhvuygduysfguysfaiycbdkzbv,bfdfuygvudyfgdfugldfugihxiuvb                                                                
 Um cabide que passe as roupas para você                                                                            ; Cabide                ; roupas               ; ponsapiucniucnoi vpadsoijbvcpoaisjncnpaoscnapieuecs                                                                         
 Escrever testes antes das features ajuda o programador a cometeremos erros                                         ; Testes                ; Features             ; jskskskdkdjdkdldjfiflspsmdncnchdbbdhdkckvpvpvpgofjrifjtkofifuudgevenfkckfndjxocppskenfkcpdpejfic                            
" Um jeito de um pessoa surda conseguir ""sentir"" a música através de estímulos visuais                               "; surda                 ; estímulo             ; ljhkbjkhvkjhvblkjnbljhvlkjnlhvlk clksbdclhsbadoicspac lajecblaidcn                                                          
 Um lápis que escreve sozinho o que você quer que ele escreva                                                       ; lápis                 ; sozinho              ; skajdhjkshdjksabdjsabdjsbdjksbdkjsbdjkasbdjksadbkjsadbjksabdka                                                              
 Um chão que se limpe sozinho                                                                                       ; chão                  ; sozinho              ; jndjsadjkasdjksabdjkasbdjbdkjasbdjkabd                                                                                      
 Uma impressora que imprima suas ideias                                                                             ; impressora            ; ideias               ; sjkdhdhgkjasbdasbdhjsdhjsvdhvgasdsfdygdugdihdidiohdioehio                                                                   
 Uma bolsa pequena que carrega várias coisas grandes                                                                ; bolsa pequena         ; coisas grandes       ; dklsamdklsandladklsadnsadnaklsdnlancmklcmdnjewfijedd                                                                        
 Um livro que traduz automaticamente para todas as línguas do mundo                                                 ; livro                 ; traduz               ; ajdhsadhasdbasbdhsadbhasvdhsavdhjsvhsjdbudbuwdbudbqidasdsnknjkasbdjhbdsahj hsa dhsvdjhbdjasdjhdjahsbdj                      
 Um delineador que sempre deixa um lado igual ao outro                                                              ; delineador            ; igual                ; ajknsjkasjkdbasjkdbhjvdeyyeudhakjnjkcbdhasnsajdbasdasjdsaknsjdhajdsad                                                       
 Uma máscara de cílios que nunca borra                                                                              ; máscara de cílios     ; borra                ; jshajkdkajsdbhjsvdyudgyuwdbdvasdvshajdvjhsdvjhasdvhjasdvvhj                                                                 
 As folhas do cacto são os seus espinhos                                                                            ; cacto                 ; espinhos             ; ashdhjsabdhjasbdhjabdhjsadvhjsavdhjsavdjhsavdjhasdvs                                                                        
 Não desistir como o Naruto                                                                                         ; desistir              ; Naruto               ; qnwlijfnqwoginevoxfepfjegmcegj                                                                                              
 átomos nunca se tocam, logo vc nunca toca em ninguém                                                               ; atomos                ; tocar                ; hjadhkadhjVmavdabnsvhJAJAHDDHjkqwoeiwhq                                                                                     
 Um método automático pra ficar milionário                                                                          ; milionário            ; automático           ; vavahuajbwbbava                                                                                                             
 O sorriso forçado pode me fazer rir de verdade                                                                     ; sorriso               ; fazer                ;gatinho9000darua18
se a terra for observando de um planeta a 30 milhoes de anos-luz nesse exato momento, eles estao vendo dinossauros; dinossauros           ; anos-luz             ; asdfghtrdcvbnjuytrewsadadqqwencjkjdkdnjkanjs                                                                                
 Lavar a mão é uma forma de prevenção contra o covid                                                                ; mão                   ; covid                ; seilaadoletalepetipetipolaumsorvetecolore                                                                                   
 existe dois porcento de chances de vc ter um falso irmao gêmeo                                                     ; irmão                 ; gêmeo                ; hhjgnbvvihbuoabjxbjsabasbhjbxhjbshxbahjbxshajvha                                                                            
 Se eu dividir minhas tarefas posso conquistar o que eu quero                                                       ; conquistar            ; dividir              ;" fguengjiengjtnbj;etwnbenbw;bnrgbnrbrgbnbnebnenAtackOnTitannãopresta                                                         "
 Thanos deixar metades das mulheres inferteis teria sido mais eficaz q destruir metade do universo                  ; Thanos                ; destruir             ; homemdeferrmaiorqcapitaoamerica                                                                                             
 Se o Hulk tivesse treinado todos aqueles anos, ele meteria a porrada no thanos                                     ; Hulk                  ; Thanos               ; zegotihaheroinacional                                                                                                       
 Se vc respirar com a boca com a lingua pra fora vai parecer um cachorro                                            ; Respirar              ; cachorro             ; gYXGhjxbhavxgvaiyxvaiXOQUHXUgVJHVGHCH                                                                                       
 Dinossauros sao mais proximos de galinhas q jacarés                                                                ; Dinossauros           ; galinhas             ; fdghjksxjhqsjkxbqkjbxiqbibaHJXVAHGVXa                                                                                       
 O ovo veio antes que a galinha pôs esta veio de uma evolução do dinossauro                                         ; ovo                   ; galinha              ;queriaumipadprogentedoacossaoaceitasnomeucep12312314
 De grão em grão a galinha ou enche o papo ou acumula muitos bens.                                                  ; grão                  ; acumulo              ; acumulodeBemTambemSeriaumaboaPalavraChavemasSaoTresPalavrasAiEuPenseiHmmmmTalvezNaum                                        
 A pedra do quintal é parente do grão de areia pois ambos são fragmentos de rocha.                                  ; rocha                 ; fragmento            ; aiAiissoTemTendenciasDoTimeVermelinhoLaMasNaMoralSOmosTodosDerivadosDeUmAtomoRespeiteOsVizinhos                             
 Tempo é uma ilusão, e mais vale dar um tempo para ter ideias do que gastar tempo forçando.                         ; relaxa                ; tempo                ; naMoralissoNaoFazSentidoMAsEuTenteiComoUmBomProcrastinaDOR                                                                  
 O ser humano só tem dois locais para sua existência: coexistir no mundo ou coexistir consigo mesmo                 ; existência            ; coletividade         ; pUxAAminhaVidaEhMuitoSolitariaPenaqueodeiosereshumanosPoremAchoqueOdeiomaisAmim                                             
 Dinossauros provavelmente não emitiam um rugido, mas um grasno.                                                    ; dinossauros           ; som                  ;eUamoQueDinossaurosSaoUmaGalinhaElefanteEuSoQueriaJurassicPark10milOndeElesFazemDesfileComPenaDeTREXVivaOmovimentoVeganista
 Nem tudo é show, mas você está um espetáculo                                                                       ; show                  ; cantada              ; euQueroUmaNamorada                                                                                                          
 Três tigres tristes plantam três ramos de trigo para atrair três cervos tristes pra comer pão com catuaba          ; três                  ; confraternização     ; aquiÉpraserUmCampoAleatorioMasEuAdoroComentarskfmksnfPalavrasAleatoriaskjfnkjfv                                             
 Gatos agricultores fazem um milharal.                                                                              ; gatos                 ; agricultores         ; MIAUlharal_Entendeu?kkHUMOR                                                                                                 
 Se você diz que não é falsa, mas finge orgasmo, está mentindo ou dizendo a verdade?                                ; orgasmo               ; mentira              ; jakdaiosdoa ohddahsdoknak niahnaosdaio hoandkjnasjkdn                                                                       
 No espaço ninguém vai te ouvir gritar                                                                              ; Alien                 ; gritar               ; bnasdvhmdvhXBdkxdgkUBXguixbgku                                                                                              
 Jacarés fazem tocas tão complexas quanto de castores.                                                              ; Jacarés               ; tocas                ; tmj                                                                                                                         
 Urubus possuem um ritual de voar em círculos ao que especialistas atribuem ser para digerir comida com ozônio      ; Urubus                ; ozônio               ; asjashjkdkasd kjndijabsjdba ndkabdkjbais kahkdasjd                                                                          
Os polvos possuem 3 corações; polvos                ; corações             ; sajkdnaklndoasdkasdn anodnjanjkanjkdnaknd anndajkndjkandjkabnsjkd                                                           
Os polvos possuem 9 cérebros; polvos                ; cérebros             ; jkandjkandjknajkdnajkndk nsdknakdnjkabdjkandjk nadnjkandjkanjkdnajkdn                                                       
 Escorpiões brilham no escuro ao serem expostos a raios ultra-violeta de luz negra                                  ; escorpiões            ; brilham              ; ajanjkdajhdjasd adajsdjasdjbasjdb ajdjkabdjabjdbajsdbjkasnbdjkabsjdkakd ka d socorro                                        
 Beija-flores podem voar em qualquer um dos três eixos espaciais                                                    ; beija-flor            ; eixos                ; ksndknadnajsndjasnd nsdnajndjandjna aisndjansdjandjan                                                                       
 Peixes cartilaginosos possuem um par de órgões genitais chamados clásper                                           ; tubarões              ; clásper              ; sanjnsjdnaj njdanjdnjasn babdjbasbdhajsb                                                                                    
 Uma informação incompleta pode se categorizar como uma falsa verdade.                                              ; verdade               ; comunicação          ; knflsnlnlnvns                                                                                                               
 Pinguins possuem joelho                                                                                            ; pinguins              ; joelho               ; eklncnkrlkelespossuemjoelho                                                                                                 
 A terra é um geoide, rendondo só a barriga de chopp do seu pai                                                     ; planeta               ; geografia            ; mhbjhxfdnxngvmj                                                                                                             
 A cola de post-it era uma super cola que falhou. Falhe mais.                                                       ; falha                 ; invenção             ;ncekjfckwjfnwjf94942SeEhverdadeEunaoseimaseuseiqueEuOuvi
 A Lua é uma dobradora de água                                                                                      ; lua                   ; natureza             ; jdnf,jddsf                                                                                                                  
 Doutor Estranho poderia ter matado o Thanos sozinho, mas ele é estranho                                            ; antisocial            ; legal                ; jvnsdkjfnvs                                                                                                                 
 Abelhas brasileiras não possuem ferrão                                                                             ; abelhas               ; brasileiras          ; ciência                                                                                                                     
 Libélulas são animais conhecidos por possuírem um dos mais acelerados metabolismos do mundo animal                 ; libélulas             ; metabolismo          ; hnajsbdhabjdbajshd nadbasbdjhasbdhbashdbas basbdjabsdjbasjdbasjdbja                                                         
                                                                                                                    ;                       ;                      ;                                                                                                                             
Libélulas são capazes de comer até 14% do seu peso em um único dia; libélulasl            ; comer                ; kakakakak silviosantos asjahsjaksh                                                                                          
Libélulas batem suas asas em média 50 vezes por segundo;                       ;                      ;                                                                                                                             
 Se a existência vem em ciclos, vida após a morte está para morte após a vida.                                      ; duvida                ; existencia           ; nefs,cnew                                                                                                                   
 Álcool em excesso faz o bem no reverso.                                                                            ; rima                  ; humor                ; iloveyouiloveyoucoroteeee                                                                                                   
Too far from over you, Beams from your M2; musica                ; glassanimals         ; sfkjnvkvn                                                                                                                   
 Lava, escorre, agita a areia. E enfim, na bateia, fica uma pepita.                                                 ; poema                 ; haikai               ; .kvfs.jb sBEJN.KFS                                                                                                          
